Orientation - Roll: -0.03°, Pitch: -0.00°, Yaw: 240.91°
Orientation - Roll: -0.03°, Pitch: -0.00°, Yaw: 240.91°
Orientation - Roll: -0.03°, Pitch: -0.00°, Yaw: 240.91°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.91°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.91°
Orientation - Roll: -0.04°, Pitch: -0.02°, Yaw: 240.91°
Orientation - Roll: -0.04°, Pitch: -0.02°, Yaw: 240.91°
Orientation - Roll: -0.03°, Pitch: -0.01°, Yaw: 240.91°
Orientation - Roll: -0.04°, Pitch: -0.01°, Yaw: 240.91°
Orientation - Roll: -0.04°, Pitch: -0.01°, Yaw: 240.96°
Orientation - Roll: -0.03°, Pitch: -0.00°, Yaw: 240.96°
Orientation - Roll: -0.03°, Pitch: -0.00°, Yaw: 240.96°
Orientation - Roll: -0.03°, Pitch: -0.00°, Yaw: 240.96°
Orientation - Roll: -0.03°, Pitch: -0.00°, Yaw: 240.96°
Orientation - Roll: -0.04°, Pitch: -0.01°, Yaw: 240.96°
Orientation - Roll: -0.04°, Pitch: -0.00°, Yaw: 240.96°
Orientation - Roll: -0.04°, Pitch: -0.00°, Yaw: 240.96°
Orientation - Roll: -0.03°, Pitch: -0.00°, Yaw: 240.96°
Orientation - Roll: -0.03°, Pitch: -0.00°, Yaw: 240.05°
Orientation - Roll: -0.03°, Pitch: 0.01°, Yaw: 240.05°
Orientation - Roll: -0.03°, Pitch: 0.01°, Yaw: 240.05°
Orientation - Roll: -0.04°, Pitch: -0.00°, Yaw: 240.05°
Orientation - Roll: -0.04°, Pitch: -0.00°, Yaw: 240.05°
Orientation - Roll: -0.04°, Pitch: -0.01°, Yaw: 240.05°
Orientation - Roll: -0.04°, Pitch: -0.00°, Yaw: 240.05°
Orientation - Roll: -0.04°, Pitch: -0.00°, Yaw: 240.05°
Orientation - Roll: -0.03°, Pitch: 0.01°, Yaw: 240.05°
Orientation - Roll: -0.03°, Pitch: 0.01°, Yaw: 240.28°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.30°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.30°
Orientation - Roll: -0.03°, Pitch: -0.03°, Yaw: 240.30°
Orientation - Roll: -0.02°, Pitch: -0.04°, Yaw: 240.31°
Orientation - Roll: -0.02°, Pitch: -0.04°, Yaw: 240.31°
Orientation - Roll: -0.02°, Pitch: -0.04°, Yaw: 240.31°
Orientation - Roll: -0.02°, Pitch: -0.04°, Yaw: 240.31°
Orientation - Roll: -0.03°, Pitch: -0.04°, Yaw: 240.31°
Orientation - Roll: -0.03°, Pitch: -0.04°, Yaw: 240.92°
Orientation - Roll: -0.03°, Pitch: -0.04°, Yaw: 240.93°
Orientation - Roll: -0.03°, Pitch: -0.05°, Yaw: 240.93°
Orientation - Roll: -0.03°, Pitch: -0.05°, Yaw: 240.93°
Orientation - Roll: -0.03°, Pitch: -0.04°, Yaw: 240.92°
Orientation - Roll: -0.03°, Pitch: -0.04°, Yaw: 240.92°
Orientation - Roll: -0.03°, Pitch: -0.04°, Yaw: 240.93°
Orientation - Roll: -0.03°, Pitch: -0.04°, Yaw: 240.93°
Orientation - Roll: -0.03°, Pitch: -0.04°, Yaw: 240.92°
Orientation - Roll: -0.03°, Pitch: -0.04°, Yaw: 240.21°
Orientation - Roll: -0.03°, Pitch: -0.04°, Yaw: 240.21°
Orientation - Roll: -0.03°, Pitch: -0.05°, Yaw: 240.22°
Orientation - Roll: -0.03°, Pitch: -0.05°, Yaw: 240.22°
Orientation - Roll: -0.03°, Pitch: -0.04°, Yaw: 240.21°
Orientation - Roll: -0.03°, Pitch: -0.04°, Yaw: 240.21°
Orientation - Roll: -0.01°, Pitch: -0.04°, Yaw: 240.22°
